 Format                 IAGA-2002                                    |
 Source of Data         Borok Geophysical Observatory(Russia)/IPGP   |
 Station Name           Borok                                        |
 IAGA Code              BOX                                          |
 Geodetic Latitude      58.070                                       |
 Geodetic Longitude     38.230                                       |
 Elevation              115.0                                        |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.2 second                                   |
 Data Interval Type     Filtered 1-minute (00:15 - 1:45)             |
 Data Type              variation                                    |
 # Vector 1-minute values are computed from 1-second values using    |
 # the INTERMAGNET gaussian filter centered on the minute.           |
 # Scalar 1-minute values are computed from 5-second values using    |
 # the INTERMAGNET gaussian filter centered on the minute.           |
 # This data file was created using INTERMAGNET data                 |
 # from the Paris GIN. These data were acquired                      |
 # from an INTERMAGNET reported data file.                           |
 # Final data will be available on the INTERMAGNET DVD               |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     BOXX      BOXY      BOXZ      BOXF   |
2022-01-15 00:00:00.000 015     15039.72   3463.06  50747.37  53042.89
2022-01-15 00:01:00.000 015     15040.95   3464.18  50747.41  53043.33
2022-01-15 00:02:00.000 015     15041.60   3464.91  50747.38  53043.52
2022-01-15 00:03:00.000 015     15040.55   3464.89  50746.95  53042.86
2022-01-15 00:04:00.000 015     15038.13   3464.43  50746.15  53041.43
2022-01-15 00:05:00.000 015     15034.76   3464.27  50745.19  53039.58
2022-01-15 00:06:00.000 015     15031.19   3466.10  50744.47  53037.93
2022-01-15 00:07:00.000 015     15028.47   3468.71  50744.19  53037.03
2022-01-15 00:08:00.000 015     15026.86   3472.24  50744.41  53036.95
2022-01-15 00:09:00.000 015     15025.53   3476.01  50744.77  53037.13
2022-01-15 00:10:00.000 015     15023.87   3478.47  50744.95  53037.03
2022-01-15 00:11:00.000 015     15023.54   3479.92  50745.10  53037.20
2022-01-15 00:12:00.000 015     15023.11   3480.87  50745.43  53037.46
2022-01-15 00:13:00.000 015     15024.15   3482.30  50746.09  53038.44
2022-01-15 00:14:00.000 015     15024.87   3482.45  50746.85  53039.38
2022-01-15 00:15:00.000 015     15024.92   3482.54  50747.61  53040.12
2022-01-15 00:16:00.000 015     15024.83   3482.61  50748.46  53040.92
2022-01-15 00:17:00.000 015     15023.63   3481.62  50749.42  53041.38
2022-01-15 00:18:00.000 015     15022.64   3482.01  50750.60  53042.18
2022-01-15 00:19:00.000 015     15025.23   3483.50  50752.25  53044.58
2022-01-15 00:20:00.000 015     15029.06   3484.47  50754.23  53047.69
2022-01-15 00:21:00.000 015     15031.67   3484.33  50756.29  53050.46
2022-01-15 00:22:00.000 015     15033.61   3484.23  50758.17  53052.82
2022-01-15 00:23:00.000 015     15035.46   3482.77  50759.73  53054.83
2022-01-15 00:24:00.000 015     15036.79   3481.80  50761.31  53056.58
2022-01-15 00:25:00.000 015     15036.59   3479.85  50762.63  53057.66
2022-01-15 00:26:00.000 015     15033.67   3477.57  50763.23  53057.28
2022-01-15 00:27:00.000 015     15029.06   3475.16  50762.94  53055.65
2022-01-15 00:28:00.000 015     15026.27   3473.99  50762.42  53054.25
2022-01-15 00:29:00.000 015     15024.38   3473.40  50761.96  53053.19
2022-01-15 00:30:00.000 015     15023.49   3472.81  50761.63  53052.51
2022-01-15 00:31:00.000 015     15022.49   3472.70  50761.52  53052.08
2022-01-15 00:32:00.000 015     15020.39   3473.98  50761.32  53051.39
2022-01-15 00:33:00.000 015     15019.44   3476.19  50760.95  53050.97
2022-01-15 00:34:00.000 015     15019.75   3477.17  50760.61  53050.76
2022-01-15 00:35:00.000 015     15019.96   3476.43  50760.02  53050.25
2022-01-15 00:36:00.000 015     15019.19   3476.34  50759.42  53049.48
2022-01-15 00:37:00.000 015     15019.48   3476.73  50759.01  53049.16
2022-01-15 00:38:00.000 015     15021.81   3477.23  50759.08  53049.87
2022-01-15 00:39:00.000 015     15024.03   3477.25  50759.51  53050.91
2022-01-15 00:40:00.000 015     15024.81   3476.62  50759.80  53051.39
2022-01-15 00:41:00.000 015     15024.75   3476.67  50760.12  53051.65
2022-01-15 00:42:00.000 015     15024.82   3477.22  50760.40  53052.00
2022-01-15 00:43:00.000 015     15025.50   3477.09  50760.67  53052.48
2022-01-15 00:44:00.000 015     15026.70   3476.23  50760.93  53052.94
2022-01-15 00:45:00.000 015     15028.74   3474.98  50761.28  53053.77
2022-01-15 00:46:00.000 015     15030.75   3474.56  50761.85  53054.86
2022-01-15 00:47:00.000 015     15033.23   3473.23  50762.51  53056.06
2022-01-15 00:48:00.000 015     15034.73   3471.24  50763.07  53056.95
2022-01-15 00:49:00.000 015     15035.54   3469.35  50763.78  53057.69
2022-01-15 00:50:00.000 015     15036.38   3468.81  50764.62  53058.64
2022-01-15 00:51:00.000 015     15039.02   3468.76  50765.57  53060.25
2022-01-15 00:52:00.000 015     15040.67   3468.98  50766.55  53061.74
2022-01-15 00:53:00.000 015     15040.88   3470.18  50767.29  53062.63
2022-01-15 00:54:00.000 015     15041.88   3471.08  50767.65  53063.38
2022-01-15 00:55:00.000 015     15041.96   3470.45  50767.55  53063.29
2022-01-15 00:56:00.000 015     15043.20   3468.93  50767.33  53063.28
2022-01-15 00:57:00.000 015     15045.42   3467.22  50767.18  53063.65
2022-01-15 00:58:00.000 015     15044.74   3465.05  50766.78  53063.00
2022-01-15 00:59:00.000 015     15041.44   3463.78  50766.11  53061.36
2022-01-15 01:00:00.000 015     15038.11   3464.67  50765.56  53059.81
2022-01-15 01:01:00.000 015     15037.65   3466.47  50764.98  53059.25
2022-01-15 01:02:00.000 015     15037.00   3466.97  50764.51  53058.70
2022-01-15 01:03:00.000 015     15035.42   3467.75  50763.92  53057.80
2022-01-15 01:04:00.000 015     15035.28   3469.19  50763.42  53057.36
2022-01-15 01:05:00.000 015     15035.40   3470.37  50763.01  53057.00
2022-01-15 01:06:00.000 015     15033.63   3470.17  50762.21  53055.82
2022-01-15 01:07:00.000 015     15029.56   3470.35  50761.38  53053.87
2022-01-15 01:08:00.000 015     15029.63   3471.30  50760.82  53053.43
2022-01-15 01:09:00.000 015     15031.20   3472.38  50761.01  53054.04
2022-01-15 01:10:00.000 015     15032.58   3473.20  50761.44  53054.90
2022-01-15 01:11:00.000 015     15032.75   3473.63  50761.68  53055.27
2022-01-15 01:12:00.000 015     15033.26   3473.54  50761.83  53055.53
2022-01-15 01:13:00.000 015     15033.33   3472.90  50761.91  53055.57
2022-01-15 01:14:00.000 015     15033.11   3472.53  50761.94  53055.48
2022-01-15 01:15:00.000 015     15032.21   3471.45  50761.82  53055.07
2022-01-15 01:16:00.000 015     15030.31   3471.77  50761.54  53054.30
2022-01-15 01:17:00.000 015     15030.09   3472.18  50761.05  53053.79
2022-01-15 01:18:00.000 015     15029.45   3471.92  50760.26  53052.79
2022-01-15 01:19:00.000 015     15028.47   3471.24  50759.19  53051.48
2022-01-15 01:20:00.000 015     15023.52   3473.20  50757.81  53048.87
2022-01-15 01:21:00.000 015     15020.59   3474.10  50755.78  53046.18
2022-01-15 01:22:00.000 015     15019.89   3472.68  50753.28  53043.46
2022-01-15 01:23:00.000 015     15016.66   3473.04  50750.59  53040.06
2022-01-15 01:24:00.000 015     15015.89   3473.71  50747.85  53037.19
2022-01-15 01:25:00.000 015     15015.25   3474.96  50745.10  53034.49
2022-01-15 01:26:00.000 015     15017.49   3476.38  50742.74  53032.96
2022-01-15 01:27:00.000 015     15021.26   3476.57  50740.78  53032.17
2022-01-15 01:28:00.000 015     15027.56   3476.35  50739.48  53032.72
2022-01-15 01:29:00.000 015     15034.93   3478.34  50738.72  53034.22
2022-01-15 01:30:00.000 015     15041.14   3477.30  50738.31  53035.59
2022-01-15 01:31:00.000 015     15044.05   3476.91  50738.07  53036.17
2022-01-15 01:32:00.000 015     15043.66   3478.04  50737.14  53035.36
2022-01-15 01:33:00.000 015     15042.81   3479.40  50735.64  53033.75
2022-01-15 01:34:00.000 015     15046.64   3480.60  50734.11  53033.46
2022-01-15 01:35:00.000 015     15050.97   3482.79  50732.97  53033.75
2022-01-15 01:36:00.000 015     15053.92   3484.41  50731.97  53033.77
2022-01-15 01:37:00.000 015     15053.98   3488.00  50730.79  53032.94
2022-01-15 01:38:00.000 015     15052.10   3491.15  50729.32  53031.23
2022-01-15 01:39:00.000 015     15049.51   3496.14  50728.05  53029.55
2022-01-15 01:40:00.000 015     15050.65   3499.26  50727.11  53029.24
2022-01-15 01:41:00.000 015     15052.59   3500.33  50726.60  53029.35
2022-01-15 01:42:00.000 015     15052.90   3500.77  50726.50  53029.38
2022-01-15 01:43:00.000 015     15052.54   3501.28  50726.82  53029.59
2022-01-15 01:44:00.000 015     15052.42   3502.80  50727.72  53030.49
2022-01-15 01:45:00.000 015     15053.48   3505.62  50729.13  53032.25
2022-01-15 01:46:00.000 015     15053.59   3507.28  50730.41  53033.71
2022-01-15 01:47:00.000 015     15052.31   3507.36  50731.51  53034.48
2022-01-15 01:48:00.000 015     15049.98   3506.57  50732.73  53034.90
2022-01-15 01:49:00.000 015     15048.33   3505.63  50734.04  53035.58
2022-01-15 01:50:00.000 015     15048.21   3505.70  50735.74  53037.09
2022-01-15 01:51:00.000 015     15048.67   3505.79  50737.63  53039.06
2022-01-15 01:52:00.000 015     15048.85   3505.27  50739.56  53040.86
2022-01-15 01:53:00.000 015     15050.13   3502.19  50741.45  53042.79
2022-01-15 01:54:00.000 015     15048.19   3499.13  50743.52  53044.01
2022-01-15 01:55:00.000 015     15047.50   3497.20  50745.61  53045.62
2022-01-15 01:56:00.000 015     15049.61   3495.26  50747.66  53048.11
