 Format                 IAGA-2002                                    |
 Source of Data         Instituto Geografico Nacional (Spain)        |
 Station Name           Guimar - Tenerife                            |
 IAGA Code              GUI                                          |
 Geodetic Latitude      28.317                                       |
 Geodetic Longitude     343.560                                      |
 Elevation              868                                          |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.0078125 seconds                            |
 Data Interval Type     Filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # INTERMAGNET Gaussian filter applied for 1-second data             |
 # This data file was created using INTERMAGNET data from Paris GIN. |
 # Final data will be available on the INTERMAGNET DVD.              |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     GUIX      GUIY      GUIZ      GUIF   |
2022-01-15 00:00:00.000 015     27579.28  -3082.89  22546.93  35931.97
2022-01-15 00:01:00.000 015     27579.98  -3083.09  22546.71  35932.40
2022-01-15 00:02:00.000 015     27580.57  -3083.35  22546.54  35932.73
2022-01-15 00:03:00.000 015     27581.08  -3083.30  22546.29  35932.99
2022-01-15 00:04:00.000 015     27581.44  -3083.09  22545.91  35933.04
2022-01-15 00:05:00.000 015     27581.59  -3082.92  22545.56  35932.89
2022-01-15 00:06:00.000 015     27581.48  -3082.89  22545.14  35932.57
2022-01-15 00:07:00.000 015     27581.27  -3082.94  22544.76  35932.23
2022-01-15 00:08:00.000 015     27581.35  -3083.05  22544.43  35932.08
2022-01-15 00:09:00.000 015     27581.54  -3083.21  22544.15  35932.02
2022-01-15 00:10:00.000 015     27581.48  -3083.28  22543.86  35931.78
2022-01-15 00:11:00.000 015     27581.48  -3083.36  22543.51  35931.58
2022-01-15 00:12:00.000 015     27581.44  -3083.54  22543.26  35931.42
2022-01-15 00:13:00.000 015     27581.28  -3083.85  22542.97  35931.16
2022-01-15 00:14:00.000 015     27581.09  -3084.01  22542.69  35930.87
2022-01-15 00:15:00.000 015     27580.80  -3084.04  22542.40  35930.45
2022-01-15 00:16:00.000 015     27580.51  -3084.12  22542.07  35930.02
2022-01-15 00:17:00.000 015     27580.13  -3084.27  22541.80  35929.56
2022-01-15 00:18:00.000 015     27579.59  -3084.35  22541.43  35928.94
2022-01-15 00:19:00.000 015     27579.08  -3084.35  22541.07  35928.35
2022-01-15 00:20:00.000 015     27578.99  -3084.41  22540.80  35928.08
2022-01-15 00:21:00.000 015     27579.23  -3084.65  22540.64  35928.22
2022-01-15 00:22:00.000 015     27579.60  -3084.87  22540.54  35928.43
2022-01-15 00:23:00.000 015     27580.14  -3084.93  22540.39  35928.75
2022-01-15 00:24:00.000 015     27580.66  -3085.03  22540.30  35929.09
